SAO PAULO;ALTAIR;Restrição Judical;7
SAO PAULO;CORONEL MACEDO;Alienação Fiduciária;288
CEARA;LAVRAS DA MANGABEIRA;Reserva de Domínio;54
MINAS GERAIS;DIVISA NOVA;Restrição Administrativa;11
AMAZONAS;RIO PRETO DA EVA;Arrendamento;26
MINAS GERAIS;ITINGA;Alienação Fiduciária;448
RONDONIA;ITAPUA DO OESTE;Arrendamento;5
RIO GRANDE DO SUL;SAO MIGUEL DAS MISSOES;Restrição Administrativa;33
AMAZONAS;BORBA;Restrição Administrativa;8
MINAS GERAIS;JAGUARACU;Restrição Administrativa;4
BAHIA;BARRA;Restrição Administrativa;14
PARANA;CALIFORNIA;Restrição Beneficiário Tributário;10
MARANHAO;TRIZIDELA DO VALE;Alienação Fiduciária;1593
CEARA;TIANGUA;Arrendamento;74
MATO GROSSO DO SUL;TERENOS;Arrendamento;29
SAO PAULO;OSASCO;Restrição Beneficiário Tributário;4786
MINAS GERAIS;ESPERA FELIZ;Penhor ;18
MATO GROSSO;COLNIZA;Restrição Judical;35
SANTA CATARINA;SAO JOAO DO OESTE;Restrição Judical;6
SAO PAULO;CACAPAVA;Restrição Beneficiário Tributário;156
PARAIBA;CARAUBAS;Alienação Fiduciária;99
SANTA CATARINA;SAO FRANCISCO DO SUL;Penhor ;6
PARA;ACARA;Penhor ;3
CEARA;PACUJA;Reserva de Domínio;11
SAO PAULO;PRESIDENTE ALVES;Reserva de Domínio;4
RIO GRANDE DO SUL;VANINI;Restrição Administrativa;4
SAO PAULO;GUATAPARA;Reserva de Domínio;8
PARANA;SANTO INACIO;Arrendamento;15
MINAS GERAIS;ARAPONGA;Reserva de Domínio;23
SANTA CATARINA;BOMBINHAS;Arrendamento;102
MINAS GERAIS;SIMONESIA;Reserva de Domínio;28
MINAS GERAIS;PEDRINOPOLIS;Reserva de Domínio;6
PARA;BAIAO;Restrição Judical;5
BAHIA;ITAPITANGA;Reserva de Domínio;19
BAHIA;MALHADA DE PEDRAS;Arrendamento;3
RIO GRANDE DO SUL;IVORA;Reserva de Domínio;3
MINAS GERAIS;CAMPESTRE;Penhor ;67
RIO DE JANEIRO;CAMBUCI;Restrição Beneficiário Tributário;26
BAHIA;CASA NOVA;Reserva de Domínio;139
SERGIPE;RIACHAO DO DANTAS;Restrição por Roubo e Furto;1
RIO GRANDE DO SUL;DOIS LAJEADOS;Arrendamento;6
RIO GRANDE DO NORTE;AGUA NOVA;Restrição Judical;4
MINAS GERAIS;SALTO DA DIVISA;Reserva de Domínio;43
BAHIA;RIBEIRAO DO LARGO;Arrendamento;5
SANTA CATARINA;IRATI;Reserva de Domínio;4
PARA;ANAJAS;Sem Restrição;404
MINAS GERAIS;CANTAGALO;Restrição Administrativa;4
PARA;BUJARU;Arrendamento;6
SAO PAULO;JERIQUARA;Reserva de Domínio;2
CEARA;ITAREMA;Reserva de Domínio;76
PIAUI;GILBUES;Alienação Fiduciária;1306
MARANHAO;SATUBINHA;Reserva de Domínio;20
BAHIA;QUEIMADAS;Arrendamento;11
PARA;OUREM;Restrição Judical;2
PERNAMBUCO;BREJAO;Arrendamento;5
SAO PAULO;PANORAMA;Reserva de Domínio;17
PARAIBA;TAVARES;Reserva de Domínio;7
MARANHAO;SAO DOMINGOS DO AZEITAO;Reserva de Domínio;41
CEARA;MARCO;Arrendamento;14
PARAIBA;VIEIROPOLIS;Restrição Judical;3
RIO GRANDE DO NORTE;JOSE DA PENHA;Restrição Judical;5
BAHIA;NOVA FATIMA;Restrição Judical;3
BAHIA;BARRA;Arrendamento;9
MINAS GERAIS;BOM JESUS DO GALHO;Arrendamento;8
MARANHAO;VILA NOVA DOS MARTIRIOS;Reserva de Domínio;13
MINAS GERAIS;MARILAC;Arrendamento;2
SAO PAULO;CLEMENTINA;Arrendamento;7
MINAS GERAIS;SARDOA;Arrendamento;4
AMAPA;PORTO GRANDE;Reserva de Domínio;17
SAO PAULO;CARAGUATATUBA;Penhor ;4
PIAUI;SAO PEDRO DO PIAUI;Restrição Beneficiário Tributário;7
PIAUI;PAQUETA;Restrição Administrativa;5
BAHIA;ITAGIMIRIM;Arrendamento;13
SANTA CATARINA;PONTE ALTA;Penhor ;3
PARAIBA;UMBUZEIRO;Arrendamento;1
